0,6556,40,2016-12-17 16:10
1,7357,15,2013-10-06 05:30
2,8383,37,2012-05-28 15:15
3,299,145,2018-05-29 01:35
4,2598,199,2015-03-27 14:50
5,1108,37,2013-04-25 18:50
6,1157,147,2017-05-26 02:25
7,3277,0,2017-08-05 06:30
8,8446,145,2017-05-08 10:50
9,7654,161,2016-10-30 22:15
10,715,132,2019-01-27 06:25
11,1863,144,2014-11-04 15:55
12,389,80,2017-09-27 10:55
13,5328,117,2016-07-31 10:20
14,207,202,2019-03-03 07:15
15,2074,143,2013-06-26 11:45
16,4094,186,2015-05-25 06:35
17,1670,34,2015-11-28 15:45
18,67,147,2013-08-20 19:40
19,2945,204,2017-11-21 09:25
20,4043,35,2016-02-27 13:35
21,592,72,2015-03-23 20:35
22,5770,33,2018-03-04 20:20
23,6599,40,2017-06-30 12:45
24,8450,53,2013-10-21 17:55
25,8624,108,2015-08-01 08:05
26,7846,76,2012-05-12 18:15
27,6682,31,2014-05-09 04:15
28,2255,190,2018-09-07 19:50
29,9332,15,2018-03-02 07:00
30,3485,236,2014-06-07 00:35
31,9792,24,2017-10-26 12:30
32,6755,97,2016-05-28 19:50
33,6961,106,2013-01-23 18:30
34,1338,157,2013-04-10 03:15
35,9201,249,2012-02-25 06:45
36,1997,245,2012-06-01 18:35
37,899,99,2018-05-08 06:25
38,3439,203,2012-01-30 03:40
39,9090,74,2013-03-05 01:05
40,2413,18,2014-12-06 20:30
41,9796,121,2017-09-27 19:45
42,4033,161,2018-09-26 04:00
43,6805,200,2018-12-20 21:25
44,6444,159,2016-03-04 16:15
45,6724,71,2012-03-04 04:00
46,6998,57,2016-09-03 10:20
47,6608,102,2013-03-15 16:25
48,3506,45,2017-01-08 05:25
49,8838,141,2015-07-14 00:20
50,1825,158,2017-02-06 22:30
51,9791,165,2014-12-21 10:10
52,1021,183,2012-03-02 04:45
53,3452,32,2013-05-21 08:20
54,5871,176,2017-02-08 11:35
55,9228,109,2014-05-18 16:15
56,9703,60,2014-01-03 11:25
57,6779,8,2015-01-09 05:15
58,4348,140,2012-12-07 10:15
59,6688,228,2013-10-16 16:50
60,5846,193,2017-09-25 21:45
61,5825,66,2012-02-27 07:45
62,1486,130,2014-07-12 11:30
63,7747,133,2018-12-22 10:55
64,7696,180,2014-05-08 08:45
65,8598,244,2012-02-20 18:30
66,6770,128,2018-12-05 21:15
67,1634,5,2012-06-25 17:15
68,4344,118,2015-06-16 04:35
69,551,133,2014-02-10 19:45
70,8485,81,2017-01-14 03:35
71,4517,112,2017-10-07 02:30
72,3375,163,2013-10-23 15:55
73,1284,12,2013-02-06 03:40
74,2171,119,2015-04-01 21:20
